Gene,Ancestry_Category,EUR_Associated,SAS_Associated,Associated_Traits_Count,Associated_Traits_List,Associated_Variants_Count
STK4,Both (Shared),True,True,38,Circulating PI3 levels; Circulating RASSF2 levels; Height (baseline); Highest math class taken (MTAG); MGLL/STK4 protein level ratio; Matrilin-4 levels; Mean platelet volume; Platelet count; SNX9/STK4 protein level ratio; Serum levels of protein WFDC5,51
KCNS1,European-Only,True,False,9,Antileukoproteinase levels; Bipolar disorder; Educational attainment (MTAG); Educational attainment (years of education); Height; Highest math class taken (MTAG); Mean platelet thrombocyte volume (UKB data field 30100); Mean platelet volume; WFDC12 protein levels,8
PCIF1,Both (Shared),True,True,614,Cholesterol to Total Lipids in HDL percentage; Cholesterol to Total Lipids in Very Large VLDL percentage; Cholesteryl Esters in very large HDL; Cholesteryl esters in large HDL (UKB data field 23562); Hematological traits (multi-trait analysis); Mean diameter of VLDL particles; Phospholipid levels in large VLDL; Total lipids in very large HDL; Triglycerides in large HDL; Triglycerides to total lipids ratio in large HDL,50
RPL13P2,Both (Shared),True,True,99,APP/CD40LG protein level ratio; Bipolar disorder or Crohn's disease (MTAG); Cholesteryl Esters in Large HDL; Cholesteryl Esters in very large HDL; Cholesteryl esters in large HDL (UKB data field 23562); Circulating CD40 levels (id: OID00542_OID20724); Educational attainment (MTAG); Height; Total lipids in large HDL (UKB data field 23559); Unswitched memory B cell %lymphocyte,26
CD40,Both (Shared),True,True,130,APP/CD40LG protein level ratio; CD27 on memory B cell; CD27 on unswitched memory B cell; Cholesteryl Esters in Large HDL; Cholesteryl Esters in very large HDL; Cholesteryl esters in large HDL (UKB data field 23562); Circulating CD40 levels (id: OID00542_OID20724); Externalizing behaviour (multivariate analysis); Total lipids in large HDL (UKB data field 23559); Unswitched memory B cell %lymphocyte,43
COX6CP2,Both (Shared),True,True,72,"DNMBP/PTPN1 protein level ratio; Height (baseline); Hematological traits (multi-trait analysis); Mean corpuscular volume; Mean reticulocyte volume (UKB data field 30260); PTPN1/TBC1D23 protein level ratio; Red blood cell count; Self-reported math ability (MTAG); hematocrit (maximum, inv-norm transformed); mean corpuscular hemoglobin (MCH, mean, inv-norm transformed)",40
PTPN1,Both (Shared),True,True,65,"Circulating EPO levels; DNMBP/PTPN1 protein level ratio; Hematological traits (multi-trait analysis); Mean corpuscular volume; Mean spheric corpuscular volume; Neutrophils and lymphocytes in blood (confirmatory factor analysis Factor 35); PTPN1/TBC1D23 protein level ratio; Red blood cell count; hematocrit (maximum, inv-norm transformed); mean corpuscular hemoglobin (MCH, mean, inv-norm transformed)",40
TSHZ2,Both (Shared),True,True,87,Cobalt levels; Dementia in non-APOE e4 carriers; Environmental pollutants exposure (AC50 high); Environmental pollutants exposure (POD low); Frailty (Factor 3 - Multimorbidity); Heptachlor epoxide levels; Smoking initiation (ever regular vs never regular) (MTAG); Stuttering; Type 2 diabetes; Warfarin maintenance dose,52
PHACTR3,Both (Shared),True,True,69,Cadmium chloride levels; Cobalt levels; Dementia in non-APOE e4 carriers; Environmental pollutants exposure (POD low); Fluid intelligence score (baseline); General cognitive ability; Heptachlor epoxide levels; Highest math class taken (MTAG); Refractive error; Vitamin D levels (adjusted for BMI) x vegetarianism interaction,33
ST3GAL6,Both (Shared),True,True,80,ALCAM/LRRC25 protein level ratio; CD33 protein levels; CHL1 protein levels; Circulating ICAM2 levels; Circulating TNFSF12 levels (id: OID00555_OID20624); GAS6 protein levels; ICAM2 protein levels; MILR1 protein levels; Mean platelet volume; SIGLEC9 protein levels,67
SIRPA,Both (Shared),True,True,69,Hematological traits (multi-trait analysis); High light scatter reticulocyte count; Mean platelet volume; Platelet count; Platelet forward scatter; Platelet side scatter; Reticulocyte count; SIRPB1 protein levels; Signal-regulatory protein beta-1 levels; Skeletal muscle SIRPA levels,101
NYAP1,Both (Shared),True,True,48,Blood cell traits latent factor 18 (platelet); Body size at age 10; DAPP1/ITGB1BP2 protein level ratio; Height (baseline); High light scatter reticulocyte count; PILRA/TNFRSF1A protein level ratio; Platelet count; QT interval; Reticulocyte count; Spherical equivalent,29
LRRC2,Both (Shared),True,True,26,ACY1 protein levels; Cerebrospinal fluid protein TDGF1 levels; Cripto levels (serum); Gut microbial network clusters (Magenta (at 1 year) x Any Breastfeeding (3 Months) interaction; Height (baseline); Hematological traits (multi-trait analysis); MST1 protein levels; Plasma amyloid beta peptide concentrations (ABx-42); TDGF1 protein levels; Teratocarcinoma-derived growth factor 1 levels (TDGF1.5810.25.3),48
SIGLEC18P,Both (Shared),True,True,14,"Alanine aminotransferase levels; Alzheimer's disease or related dementias; Alzheimer's disease, proxy Alzheimer's disease or related dementias; Aspartate aminotransferase levels; Cortical thickness; KLK12 protein levels; KLK14 protein levels; Monocyte percentage of white cells; Neurological blood protein biomarker levels; SIGLEC9 protein levels",10
LNPEP,Both (Shared),True,True,60,Circulating EGFL7 levels; Circulating FCN2 levels; Circulating IL18R1 levels; Circulating LTBR levels; Circulating SIGLEC10 levels; EGFL7 protein levels; Hematological traits (multi-trait analysis); Neutrophil count; Neutrophils and lymphocytes in blood (confirmatory factor analysis Factor 35); Smoking initiation (ever regular vs never regular) (MTAG),47
DYNC1I1,Both (Shared),True,True,42,Forced expiratory volume in 1 second (FEV1); Forced vital capacity (FVC); Heel bone mineral density; Knee osteoarthritis; Lung function (FVC); Osteoarthritis of the hip or knee; PON1 protein levels; Refractive error; Spherical equivalent; Spinal canal stenosis,75
RNU7-188P,Both (Shared),True,True,14,"Bone mineral density mean; Diverticular disease; Estimated bone mineral density; GLIPR1 protein levels; Heel bone mineral density; Height; Lobe attachment (rater-scored or self-reported); Oligodendroglioma; Orbital telorism; height (mean, inv-normal transformed)",15
SEM1,Both (Shared),True,True,115,Bone mineral density (hip); Circulating SOST levels; DMP1 protein levels; Edge-level brain connectivity (multivariate analysis); Glioblastoma; Gut microbial network clusters (Pink (at 1 year) x Homesmokers interaction; Hip shape mode 2; Node-level brain connectivity (multivariate analysis); Pierre Robin Sequence endophenotypic score; Youthful appearance (self-reported),106
RN7SL252P,European-Only,True,False,9,"Albumin levels; Conjunctivitis, infectious (PheCode 369.5); Diverticular disease; Estimated bone mineral density; Heel bone mineral density; Hemoglobin levels; Lobe attachment (rater-scored or self-reported); Oligodendroglioma; Radiation response",9
SDHAF3,Both (Shared),True,True,12,"Bone mineral density mean; Estimated bone mineral density; Facial morphology (factor 8, orbital inclination due to vertical and horizontal position of exocanthion); Free Cholesterol to Cholesteryl Esters in Very Large HDL ratio; Heel bone mineral density; Height; Height (baseline); Height (standard GWA); Tibia length to body height ratio; Total body bone mineral density",14
LINC03003,Both (Shared),True,True,130,Aerodigestive squamous cell cancer (pleiotropy); Blood Glucose level in bendroflumethiazide treated hypertension; Drinks per week; Fluid intelligence; General cognitive ability; Hematological traits (multi-trait analysis); IDP dMRI TBSS ICVF Superior corona radiata R; Linoleic acid levels; Odor identification (cinnamon); Reaction time,90
ZFP57,Both (Shared),True,True,54,Fluid intelligence; HLA DRA protein levels; Heel bone mineral density; Hematological traits (multi-trait analysis); Highest math class taken (MTAG); Neutrophil count; Refractive error; Self-reported math ability (MTAG); Total cholesterol levels; Waist-to-hip ratio adjusted for BMI,48
HLA-F-AS1,Both (Shared),True,True,148,ADAM8 protein levels; Anti-SARS-CoV-2 spike protein IgG seronegativity after first dose of COVID-19 vaccine; Bipolar disorder lithium response (continuous) or schizophrenia; Blood Glucose level in bendroflumethiazide treated hypertension; Complement C4b levels; Fluid intelligence; Hematological traits (multi-trait analysis); Linoleic acid levels; Lung cancer or family history of lung cancer; MOG protein levels,558
HLA-G,Both (Shared),True,True,115,Blood Glucose level in bendroflumethiazide treated hypertension; Cholesteryl ester levels in VLDL; Circulating ADAM23 levels; Circulating KIR3DL1 levels; General cognitive ability; PROC protein levels; Smoking initiation (ever regular vs never regular); Total cholesterol minus HDL-C levels; Total free cholesterol levels; Type 2 diabetes,109
HLA-A,Both (Shared),True,True,105,Anti-SARS-CoV-2 spike protein IgG seronegativity after first dose of COVID-19 vaccine; Autism spectrum disorder; Blood Glucose level in bendroflumethiazide treated hypertension; Body size at age 10; Frontal fibrosing alopecia; Hematological traits (multi-trait analysis); Hemoglobin concentration; Mean reticulocyte volume; Omega-3 fatty acids to total fatty acids percentage; Other non-epithelial cancer of skin (PheCode 172.2),83
PPP1R11,Both (Shared),True,True,4,Childhood ear infection; Heel bone mineral density; NPTX1 protein levels; Omega-3 fatty acid levels,4
MUC21,Both (Shared),True,True,61,Asthma (childhood onset); Blood cell traits latent factor 9 (white cell); Childhood body mass index; Cutaneous lupus erythematosus; General cognitive ability; Heel bone mineral density; Height (baseline); Lung cancer; Severe influenza A (H1N1) infection; Waist-to-hip ratio adjusted for BMI,53
MUC22,Both (Shared),True,True,124,Aerodigestive squamous cell cancer (pleiotropy); CBLIF protein levels; Complement C4b levels; Coronary artery disease or von Willebrand factor levels (pleiotropy); Diastolic blood pressure; Linoleic acid levels; Lung cancer or family history of lung cancer; Oropharynx cancer; Rheumatoid arthritis or multiple sclerosis; Stuttering,107
PPARD,Both (Shared),True,True,61,Childhood body mass index; FEV1/FVC ratio; Frailty (Factor 3 - Multimorbidity); Heel bone mineral density; Height (baseline); Platelet count; SEMA3G protein levels; Total lipid levels in lipoprotein particles; Waist-to-hip ratio adjusted for BMI; Whole body fat free mass (UKB data field 23101),61
FANCE,Both (Shared),True,True,6,FVC; Heel bone mineral density; Height; Insomnia; Lung function (FEV1/FVC); Multi-trait sex score,7
DAAM2,Both (Shared),True,True,24,Alcohol consumption x playing computer games interaction; Alkenylphosphatidylethanolamine (P-20:1/20:4) levels; Bioavailable testosterone levels; Cortical thickness (MOSTest); Heel bone mineral density; Height (baseline); Hypospadias; Impedance of arm right (UKB data field 23109); Platelet count; Type 2 diabetes,37
DAAM2-AS1,Both (Shared),True,True,10,Bioavailable testosterone levels; Estimated bone mineral density; GLIPR1 protein levels; Heel bone mineral density; Height; Height (baseline); Intraocular pressure; Oligodendroglioma; Platelet count; Type 2 diabetes,13
LINC01512,Both (Shared),True,True,53,Benign nodular goiter; Early age-related macular degeneration; Heel bone mineral density; Height (baseline); Maternal nondisjunction of chromosome 21 (MI error vs fathers); Red blood cell count; Refractive error; Reticulocyte count; TG protein levels; Waist-to-hip ratio adjusted for BMI,47
SLC29A1,Both (Shared),True,True,27,"Heel bone mineral density; Hematological traits (multi-trait analysis); Mean corpuscular volume; Mean reticulocyte volume; Mean reticulocyte volume (UKB data field 30260); Mean sphered cell volume (UKB data field 30270); Mean spheric corpuscular volume; Red blood cell count; mean corpuscular hemoglobin (MCH, mean, inv-norm transformed); mean corpuscular volume (MCV, minimum, inv-norm transformed)",14
CDC5L,Both (Shared),True,True,116,Asthma (childhood onset); Circulating GFRA3 levels; Circulating SOST levels; Forced expiratory volume in 1 second (FEV1); GPHA2 protein levels; Hematological traits (multi-trait analysis); Hip shape mode 3; Lung function (FVC); Pierre Robin Sequence endophenotypic score; Trunk fat mass adjusted for trunk lean mass,111
SUPT3H,Both (Shared),True,True,173,Asthma (childhood onset); Circulating SOST levels; Forced expiratory volume in 1 second (FEV1); GPHA2 protein levels; Hematological traits (multi-trait analysis); Hip shape mode 3; Lung function (FVC); Node-level brain connectivity (multivariate analysis); Pierre Robin Sequence endophenotypic score; Serum sclerostin levels,236
HMGCLL1,Both (Shared),True,True,38,Baseline memory in normal cognition; Bioavailable testosterone levels; Estimated glomerular filtration rate (creatinine); Forced expiratory volume in 1 second (FEV1); Forced vital capacity (FVC); Heel bone mineral density; Height (baseline); Red blood cell count; Serum levels of protein GFRAL; Vesicoureteral reflux,51
DOCK8,Both (Shared),True,True,77,"Blood cell traits latent factor 18 (platelet); Epstein-Barr virus VCA p18 antibody levels; Hematological traits (multi-trait analysis); High fluorescence immature platelet fraction; Mean platelet volume; Myeloid white cell count; Platelet side fluorescence; Response to esketamine in treatment resistant depression; Uterine fibroids; white blood cell count (WBC, minimum, inv-norm transformed)",69
RPS7P4,Both (Shared),True,True,13,Circulating SPOCK1 levels; HDL cholesterol levels in HIV infection; Heel bone mineral density; Hematocrit; Hematological traits (multi-trait analysis); Hemoglobin concentration; Hemoglobin levels; IgA nephropathy; Red blood cell count; SPOCK1 protein levels,12
COX6B1P7,Both (Shared),True,True,23,Airflow obstruction; Glaucoma (primary open-angle); Heel bone mineral density; Hematological traits (multi-trait analysis); Hemoglobin concentration; Primary open angle glaucoma (MTAG); Red blood cell count; Testosterone levels; Vertical cup-disc ratio; Vertical cup-disc ratio (multi-trait analysis),17
RN7SKP142,Both (Shared),True,True,46,"Digit length ratio (left hand); Estimated glomerular filtration rate (creatinine); Heel bone mineral density; Kidney cortex volume; Kidney volume; Platelet count; Serum uric acid levels; creatinine (mean, inv-norm transformed); estimated glomerular filtration rate (eGFR, maximum, inv-norm transformed); estimated glomerular filtration rate (eGFR, mean, inv-norm transformed)",29
LINC01571,Both (Shared),True,True,59,"Benign nodular goiter; Digit length ratio (left hand); Estimated glomerular filtration rate (creatinine); Heel bone mineral density; Kidney cortex volume; Kidney volume; Serum uric acid levels; Vertical cup-disc ratio; creatinine (mean, inv-norm transformed); estimated glomerular filtration rate (eGFR, maximum, inv-norm transformed)",51
RERE,Both (Shared),True,True,205,Asthma (childhood onset); ENO1/VTA1 protein level ratio; Hematological traits (multi-trait analysis); Node-level brain connectivity (multivariate analysis); Nonatopic asthma; Reaction time; Smoking initiation (ever regular vs never regular) (MTAG); Smoking status; Vertical cup-disc ratio; Vertical cup-disc ratio (multi-trait analysis),129
PFDN4,Both (Shared),True,True,25,CAG-345 sp000433315 abundance in stool; Calcium levels; Circulating FGF23 levels (id: OID00507_OID21411); Colorectal cancer (oestrogen-progestogen hormone therapy interaction); Estimated glomerular filtration rate; Estimated glomerular filtration rate (creatinine); Gut microbial network clusters (Magenta (at 1 year) x Winter Birth (Dec-Feb) interaction; Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 1 year) x Older Siblings interaction; PTH protein levels; Serum 25-Hydroxyvitamin D levels (conditioned on BMI),16
DOK5,Both (Shared),True,True,24,Adiposity (multivariate analysis); Anticoagulants causing adverse effects (PheCode 964.1); Celiac disease; Gut microbial network clusters (Magenta (at 1 year) x Winter Birth (Dec-Feb) interaction; Infection persistence (>18 months) in genital human papillomavirus 16 infection; Memory decline; Refractive error; Smoking initiation; Stuttering; Type 2 diabetes,29
CARMAL,Both (Shared),True,True,33,Angina pectoris; Circulating ACAN levels; Circulating MFGE8 levels; Coronary artery disease or von Willebrand factor levels (pleiotropy); Height (baseline); Hematological traits (multi-trait analysis); Iris color (b* coordinate); Mean platelet volume; Physical function (baseline); Stable angina pectoris,36
SLC4A2,Both (Shared),True,True,23,"Bicarbonate (mean, inv-norm transformed); Heel bone mineral density; Height (baseline); Hematological traits (multi-trait analysis); Mean corpuscular hemoglobin; Mean corpuscular volume; Mean corpuscular volume (UKB data field 30040); Mean spheric corpuscular volume; Red blood cell count; Red blood cell erythrocyte count (UKB data field 30010)",12
RBM33,Both (Shared),True,True,10,"Blood pressure (pleiotropy model 2 SBP adjusted for estimated causal effects x DBP); Educational attainment; Educational attainment (years of education); Myocardial infarction; Pulse pressure; Smoking cessation; Systolic blood pressure; heart rate (HR, maximum, inv-normal transformed); heart rate (HR, mean, inv-normal transformed); heart rate (HR, minimum, inv-normal transformed)",9
ARMC1,European-Only,True,False,3,Educational attainment; Educational attainment (years of education); Smoking initiation,5
WWP1,Both (Shared),True,True,15,"Aspartate aminotransferase levels; Behenoylcarnitine (C22) levels; Cerotoylcarnitine (C26) levels; Glioblastoma; Lignoceroylcarnitine (C24) levels; Metabolic syndrome; Plasma cerotoylcarnitine (C26)* levels in chronic kidney disease; Regulator of microtubule dynamics protein 1 levels; Spondylolisthesis, congenital (PheCode 754.2); Stuttering",13
RMDN1,Both (Shared),True,True,15,Behenoylcarnitine (C22) levels; Body mass index; Body mass index (MTAG); Height; Intelligence (MTAG); Lignoceroylcarnitine (C24) levels; Plasma cerotoylcarnitine (C26)* levels in chronic kidney disease; Plasma nervonoylcarnitine (C24:1)* levels in chronic kidney disease; Regulator of microtubule dynamics protein 1 levels; Stuttering,16
LINC02894,European-Only,True,False,9,Abstraction and mental flexibility; BMI and adiposity (confirmatory factor analysis Factor 7); Body mass index; Body mass index (UKB data field 21001); CDH17 protein levels; Educational attainment; Educational attainment (years of education); High-density lipoprotein levels; Speech-in-noise perception,11
COLEC10,Both (Shared),True,True,98,Asthma (childhood onset); BGLAP protein levels; Bone mineral density (femoral neck); Bone mineral density (hip); Circulating SOST levels; Crystallized knowledge (multivariate analysis); DMP1 protein levels; Hematological traits (multi-trait analysis); Serum sclerostin levels; TNFSF11 protein levels,69
MAL2,Both (Shared),True,True,40,"3-hydroxyoctanoylcarnitine (1) levels; Acylcarnitine (17:0) (a) levels; Alkaline phosphatase, tissue-nonspecific isozyme levels; Blood protein levels in cardiovascular risk; Circulating TNFRSF11B levels (id: OID00571_OID20735); Forced expiratory volume and muscle grip strength (pleiotropy); Height (baseline); TNF-related activation-induced cytokine levels; TNFSF11 protein levels; Unsupervised deep imaging phenotypes (UDIP-FA)",44
CYRIB,Both (Shared),True,True,90,Alzheimer's disease or family history of Alzheimer's disease; Cobalt levels; Environmental pollutants exposure (AC50 high); Environmental pollutants exposure (POD low); Hematological traits (multi-trait analysis); Heptachlor epoxide levels; Mean corpuscular hemoglobin concentration; Mean reticulocyte volume; Psychoticism; Standing height (UKB data field 50),44
NFIB,Both (Shared),True,True,50,Bell's palsy; Cystatin C levels in bottom 99% of individuals by creatinine levels; General cognitive ability; Highest math class taken (MTAG); Memory decline; Metastasis at diagnosis in osteosarcoma; Noncognitive aspects of educational attainment (multivariate analysis); Platelet count; Red blood cell count; Type 2 diabetes,63
NFIB-AS1,Both (Shared),True,True,68,Adult body size; Arm fat percentage right (UKB data field 23119); Attention deficit hyperactivity disorder; C-reactive protein; COVID-19 (covid vs negative); Childhood wheezing (late-onset); Height (baseline); Household income; Metabolic syndrome; Self-reported math ability (MTAG),67
DMRTA1,Both (Shared),True,True,44,Added salt consumption; Bone mineral density mean; Chronic lymphocytic leukemia; Cortical surface area; Forced expiratory volume in 1 second (FEV1); Forced vital capacity (FVC); Hematological traits (multi-trait analysis); Lung function (FVC); Sex hormone-binding globulin levels adjusted for BMI; Type 2 diabetes,36
LINC01239,Both (Shared),True,True,38,Added salt consumption; Forced expiratory volume in 1 second (FEV1); Forced vital capacity (FVC); Hematological traits (multi-trait analysis); Hip circumference; Leisure screen time; Lung function (FVC); Periodontitis; Refractive error; Type 2 diabetes,36
KLF9,Both (Shared),True,True,58,Glioblastoma; Heel bone mineral density; Hematological traits (multi-trait analysis); Highest math class taken (MTAG); LYN/TACC3 protein level ratio; Mean platelet volume; Migraine with aura; Platelet forward scatter; Red blood cell count; Self-reported math ability (MTAG),52
TRPM3,Both (Shared),True,True,103,Baseline memory in normal cognition; Corneal resistance factor (MTAG); Glioblastoma; Gut microbial network clusters (Pink (at 1 year) x Any Formula feeding (3 Months) interaction; Hematological traits (multi-trait analysis); Hemoglobin concentration; LYN/TACC3 protein level ratio; Mean platelet volume; Stuttering; Weight,111
KIAA2012,Both (Shared),True,True,38,F-low caloric food liking (derived food-liking factor); Fluid intelligence score (baseline); Forced expiratory volume in 1 second (FEV1); Forced vital capacity (FVC); Heel bone mineral density; Height (baseline); Hematological traits (multi-trait analysis); Impedance of arm right (UKB data field 23109); Lung function (FVC); Telomere length (principal component 1),27
KIAA2012-AS1,Both (Shared),True,True,34,FEV1; Forced expiratory volume in 1 second (FEV1); Forced vital capacity (FVC); Heel bone mineral density; Height (baseline); Impedance of arm right (UKB data field 23109); Lung function (FVC); Male-pattern baldness; Red blood cell count; Telomere length (principal component 1),22
TBX15,Both (Shared),True,True,106,Chin dimples; Edge-level brain connectivity (multivariate analysis); Forced expiratory volume in 1 second (FEV1); Hematological traits (multi-trait analysis); Hip index; Hip shape mode 7; Lung function (FVC); T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 59); Waist-to-hip ratio adjusted for BMI (additive genetic model); Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),130
PHF2,Both (Shared),True,True,87,Depressive symptoms x stressful life events interaction (2df test); Diaphragmatic hernia (PheCode 550.2); FEV1/FVC or irritable bowel syndrome (pleiotropy); Hematological traits (multi-trait analysis); Household income; Income (MTAG); Intelligence (MTAG); Major depressive disorder; Predicted visceral adipose tissue; Self-reported math ability,88
MIR4291,Both (Shared),True,True,48,Aortic stenosis; BMI and adiposity (confirmatory factor analysis Factor 7); Diaphragmatic hernia (PheCode 550.2); Heel bone mineral density; Height (baseline); Hernia; Metabolic syndrome; Platelet count; Waist-to-hip ratio adjusted for BMI; Waist-to-hip ratio or esophageal adenocarcinoma (pleiotropy),45
LRP5,Both (Shared),True,True,73,Bioavailable testosterone levels; DXA-Bone mineral density (spine) (UKB data field 23234); DXA-Bone mineral density (total body) (UKB data field 23236); DXA-Bone mineral density (trunk) (UKB data field 23241); Femoral neck bone mineral density; Height (baseline); Hematological traits (multi-trait analysis); Self-reported math ability (MTAG); Sex hormone-binding globulin levels adjusted for BMI; Whole body fat free mass (UKB data field 23101),59
RGS9,Both (Shared),True,True,25,CSF1 levels; DXA-Bone mineral density (head) (UKB data field 23226); Gut microbiome abundance (class Bacteroides sp. 32 (at 1 year) x Homesmokers interaction; Heel bone mineral density; Height (baseline); Highest math class taken (MTAG); Male-pattern baldness; Reticulocyte count; Reticulocyte fraction of red cells; Self-reported math ability (MTAG),44
LINC02563,Both (Shared),True,True,24,CSF1 levels; DXA-Bone mineral density (head) (UKB data field 23226); Gut microbiome abundance (class Bacteroides sp. 32 (at 1 year) x Homesmokers interaction; Heel bone mineral density; Height (baseline); Highest math class taken (MTAG); Left hippocampal volume; Longevity; Male-pattern baldness; Self-reported math ability (MTAG),41
SLC30A10,Both (Shared),True,True,111,Baseline memory in normal cognition; Brain shape (segment 7); Chronic obstructive pulmonary disease in ever smokers; Corneal resistance factor (MTAG); FEV1/FVC or inflammatory bowel disease (pleiotropy); Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage; Hip index; Standing height (UKB data field 50); Triglyceride levels x long total sleep time interaction (1df test); Urolithiasis,116
TANC1,Both (Shared),True,True,34,CD302 protein levels; Cystatin C levels in bottom 99% of individuals by creatinine levels; Estimated glomerular filtration rate (creatinine); Heel bone mineral density; Height (baseline); Hematological traits (multi-trait analysis); Night sleep phenotypes; Response to radiotherapy in prostate cancer (toxicity); Serum uric acid levels; Sudden cardiac arrest,38
PTCH1,Both (Shared),True,True,202,Basal metabolic rate (UKB data field 23105); Bone mineral density (hip); Cortical thickness (MOSTest); Edge-level brain connectivity (multivariate analysis); Feeling hurt; Forced expiratory volume in 1 second (FEV1); Household income; Lung function (FVC); Node-level brain connectivity (multivariate analysis); T1 FreeSurfer a2009s rh G cuneus area,181
MTND5P34,Both (Shared),True,True,32,COVID-19 (hospitalized vs population); Diabetic kidney disease; Heel bone mineral density; Height (baseline); Hip shape mode 8; Hyperopia; Information processing speed; Nevus count or cutaneous melanoma; Red blood cell count; Thrombin-activatable fibrinolysis inhibitor activation peptide,41
RN7SL841P,Both (Shared),True,True,31,Diabetic kidney disease; Fracture of forearm; Heel bone mineral density; Height (baseline); Hip shape mode 8; Hypospadias; Information processing speed; Nevus count or cutaneous melanoma; Red blood cell count; Thrombin-activatable fibrinolysis inhibitor activation peptide,38
CHCHD4P2,Both (Shared),True,True,56,"Baseline memory in normal cognition; Circulating KLK14 levels; Corneal resistance factor (MTAG); Cotinine glucuronidation; Hematological traits (multi-trait analysis); Mean sphered cell volume (UKB data field 30270); Mean spheric corpuscular volume; Metabolic syndrome; Placental weight (fetal genotype, adjusted for sex and gestational age); Reticulocyte count",73
RPL36P14,Both (Shared),True,True,58,Baseline memory in normal cognition; Corneal resistance factor (MTAG); Cotinine glucuronidation; Hematological traits (multi-trait analysis); Mean sphered cell volume (UKB data field 30270); Mean spheric corpuscular volume; Metabolic syndrome; Palmoplantar pustulosis; Post bronchodilator FEV1; Reticulocyte count,82
QKI,Both (Shared),True,True,98,"Diastolic blood pressure; Free Cholesterol to Cholesteryl Esters in Small HDL ratio; Free androgen index; Hemoglobin concentration; Sex hormone-binding globulin levels adjusted for BMI; Standing height (UKB data field 50); Total lipids in very large HDL; Type 2 diabetes; Weight; Weight (minimum, inv-normal transformed)",59
RN7SL366P,Both (Shared),True,True,192,"Drinks per week; Free Cholesterol to Cholesteryl Esters in Small HDL ratio; Free androgen index; Glioblastoma; Hematological traits (multi-trait analysis); Mean reticulocyte volume; Neonatal abstinence syndrome; Sex hormone-binding globulin levels adjusted for BMI; Smoking initiation (ever regular vs never regular) (MTAG); mean corpuscular hemoglobin (MCH, mean, inv-norm transformed)",153
KCNMA1,Both (Shared),True,True,73,COVID-19 (hospitalized vs population); Estimated glomerular filtration rate (creatinine); Forced expiratory volume in 1 second (FEV1); Lung disease severity in cystic fibrosis with pancreatic insufficiency; Metabolic syndrome; Ocular disease; PEPD protein levels; Primary angle-closure glaucoma (MTAG); Spherical equivalent; Stuttering,75
RNU6-1266P,Both (Shared),True,True,12,Bone mineral density (spine); Bone mineral density mean; COVID-19 death (death vs population); COVID-19 death (death vs tested and survived); Estimated bone mineral density; Heel bone mineral density; Male-pattern baldness; Mortality in heart failure; Nonalcoholic fatty liver disease (imputed); Osteoarthritis (hip),14
SEMA3F-AS1,Both (Shared),True,True,127,Alzheimer's disease or gastroesophageal reflux disease and/or peptic ulcer disease; Fluid intelligence; Frailty index; Free cholesterol in IDL; Free cholesterol in medium LDL; Mean platelet volume; Shellfish liking; Smoking initiation (ever regular vs never regular); Smoking initiation (ever regular vs never regular) (MTAG); Total free cholesterol levels,36
NAA38,Both (Shared),True,True,40,Bioavailable testosterone levels; DXA-Bone mineral density (femur neck) (UKB data field 23299); Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test); Gestational duration; Granulocyte count; Heel bone mineral density; Mean platelet volume; Myeloid white cell count; Neutrophil count; Serum urate levels,23
SPEN,Both (Shared),True,True,10,Alzheimer's disease or family history of Alzheimer's disease; Atrial fibrillation; Benign nodular goiter; CTRC protein levels; EPHA2 protein levels; Family history of Alzheimer's disease; Heel bone mineral density; Hemoglobin levels; Median measurement of hepatic fat; Prostate cancer,11
LINC02205,Both (Shared),True,True,74,"Basophil (absolute count, minimum, inv-norm transformed); Basophil forward scatter distribution width; CLEC4C protein levels; Corneal resistance factor (MTAG); Gut microbiome abundance (class Tyzzerella sp. 3 (at 3 months) x Exclusive Breastfeeding (3 Months) interaction; Height (baseline); Hematological traits (multi-trait analysis); Migraine with aura; Self-reported math ability (MTAG); Waist-to-hip ratio adjusted for BMI",74
RPL12P46,Both (Shared),True,True,26,"Cerebellum white matter volume change rate x age interaction (1df); Chronic obstructive pulmonary disease liability (machine learning-based score); Crystallized knowledge (multivariate analysis); FEV1/FVC ratio; Heel bone mineral density; Lung function (FEV1/FVC); Metabolite levels (5-HIAA/ MHPG Ratio); Smoking initiation; Type 2 diabetes (age of onset); Weight (maximum, inv-normal transformed)",25
LINC02698,Both (Shared),True,True,31,Cerebellum white matter volume change rate x age interaction (1df); Cognitive resilience to Alzheimer's disease pathology x sex interaction in cognitively normal individuals (residual cognitive resilience model); Diisocyanate-induced asthma; Drinks per week; Heel bone mineral density; Restless legs syndrome; Serum levels of protein ARL11; Smoking initiation; Smoking initiation (ever regular vs never regular) (MTAG); Type 2 diabetes (age of onset),43
